Season,Team,League,Conference,Division,Regular Season,,,,Post Season Results,Awards,Head coaches
,,,,,Finish,Wins,Losses,Ties,,,
Chicago Cardinals,,,,,,,,,,,
2001,2001,NFL,NFC,East,4th,7,9,0,,,Dave McGinnis
2002,2002,NFL,NFC,West,4th,5,11,0,,,
2003,2003,NFL,NFC,West,4th,4,12,0,,Anquan Boldin (OROY),
2004,2004,NFL,NFC,West,3rd,6,10,0,,,Dennis Green
2005,2005,NFL,NFC,West,3rd,5,11,0,,,
2006,2006,NFL,NFC,West,4th,5,11,0,,,
2007,2007,NFL,NFC,West,2nd,8,8,0,,,Ken Whisenhunt
2008,2008,NFL,NFC,West,1st,9,7,0,Won Wild Card playoffs (Falcons) 30–24,Kurt Warner (WP MOY),
,,,,,,,,,Won Divisional playoffs (at Panthers) 33–13,,
,,,,,,,,,Won NFC Championship (Eagles) 32–25,,
,,,,,,,,,Lost Super Bowl XLIII (vs. Steelers) 27–23,,
2009,2009,NFL,NFC,West,1st,10,6,0,Won Wild Card playoffs (Packers) 51–45 (OT),,
,,,,,,,,,Lost Divisional playoffs (at Saints) 45–14,,
2010,2010,NFL,NFC,West,4th,5,11,0,,,
2011,2011,NFL,NFC,West,2nd,8,8,0,,,
2012,2012,NFL,NFC,West,4th,5,11,0,,,
2013,2013,NFL,NFC,West,3rd,10,6,0,,,Bruce Arians
2014,2014,NFL,NFC,West,2nd,11,5,0,Lost Wild Card playoffs (at Panthers) 27–16,Bruce Arians (COY),
2015,2015,NFL,NFC,West,1st,13,3,0,Won Divisional playoffs (Packers) 26–20 (OT),,
,,,,,,,,,Lost NFC Championship (at Panthers) 49–15,,
2016,2016,NFL,NFC,West,2nd,7,8,1,,Larry Fitzgerald (WP MOY),
2017,2017,NFL,NFC,West,3rd,8,8,0,,,
2018,2018,NFL,NFC,West,4th,3,13,0,,,Steve Wilks
2019,2019,NFL,NFC,West,4th,5,10,1,,Kyler Murray (OROY),Kliff Kingsbury
Totals,,,,,,165,248,25,Chicago Cardinals regular season record (1920–1943; 1945–1959),,
,,,,,,0,10,0,Card-Pitt regular season record (1944),,
,,,,,,186,202,14,St. Louis Cardinals regular season record (1960–1987),,
,,,,,,32,64,0,Phoenix Cardinals regular season record (1988–1993),,
,,,,,,175,238,2,Arizona Cardinals regular season record (1994–2019),,
,,,,,,558,763,41,All-time regular season record (1920–2019),,
,,,,,,7,9,0,All-time postseason record (1932–2019),,
,,,,,,565,772,41,All-time regular season and postseason record (1920–2019),,
,,,,,,"2 NFL Championships, 1 Conference Championship, 6 Division Championships",,,,,
